Membership No  Date Joined  Active  
    92443      2017-5-11    no    
    57921      2020-9-10    no    
    68680      2016-4-23    no    
    18519      2018-4-22    no    
    27471      2017-12-3    no    
    30922      2016-8-4     no    
    40535      2017-10-2    no    
    38816      2015-12-4    no    
    15514      2017-2-12    no    
    80737      2020-8-23    no    
    50001      2020-8-10    no    
    81826      2016-12-18   no    
    11402      2016-5-15    no    
    24677      2016-7-13    no    
